 CI Overlap between S_i and S_j
           1           1  0.000000000000000E+000
           1           2  0.000000000000000E+000
           1           3  0.000000000000000E+000
           1           4  0.000000000000000E+000
           1           5  0.000000000000000E+000
           1           6  0.000000000000000E+000
           2           1  0.000000000000000E+000
           2           2  0.000000000000000E+000
           2           3  0.000000000000000E+000
           2           4  0.000000000000000E+000
           2           5  0.000000000000000E+000
           2           6  0.000000000000000E+000
           3           1  0.000000000000000E+000
           3           2  0.000000000000000E+000
           3           3  0.000000000000000E+000
           3           4  0.000000000000000E+000
           3           5  0.000000000000000E+000
           3           6  0.000000000000000E+000
           4           1  0.000000000000000E+000
           4           2  0.000000000000000E+000
           4           3  0.000000000000000E+000
           4           4  0.000000000000000E+000
           4           5  0.000000000000000E+000
           4           6  0.000000000000000E+000
           5           1  0.000000000000000E+000
           5           2  0.000000000000000E+000
           5           3  0.000000000000000E+000
           5           4  0.000000000000000E+000
           5           5  0.000000000000000E+000
           5           6  0.000000000000000E+000
           6           1  0.000000000000000E+000
           6           2  0.000000000000000E+000
           6           3  0.000000000000000E+000
           6           4  0.000000000000000E+000
           6           5  0.000000000000000E+000
           6           6  0.000000000000000E+000
